,theme_id,primary_category,secondary_category,description,keywords,usernames,comments
0,HS001,HELP-SEEKING,office_hours,"Seeks help from instructors (Professor, TA) during scheduled hours.","office hours,professor,TA,teacher,instructor",OfficeHours_Regular,I go to office hours when I'm confused.
1,HS002,HELP-SEEKING,peer_collaboration,Studies or seeks help from friends or classmates.,"friend,peer,classmate,group,others,people,with friends,study group",StudyBuddy_Szn,I work with friends or classmates.
2,HS003,HELP-SEEKING,tutoring_programs,Uses structured peer-led or academic support programs.,"PLF,UA session,step-up,AAP,tutoring,PSS,Problem Solving Session,LA",StepUp_Scholar,I use tutoring or academic support programs.
3,HS004,HELP-SEEKING,asking_questions,Actively asks questions to clarify confusion.,"ask questions,asking,clarify questions",QuestionAsker,I ask questions to clarify my confusion.
4,PR001,PRACTICE,general_practice,Engages in practice problems or exercises.,"practice problems,practice,practicing,problem sets,practice exams,drilling,exercises",PracticeMakesPerfect,I do practice problems.
5,PR002,PRACTICE,repetition,Uses repetition or redoing work to reinforce learning.,"repetition,repeat,redoing,over and over,again,rewatching lectures,re-reading",RepetitionKing,I repeat or redo things until I understand.
6,PR003,PRACTICE,worked_examples,Uses examples or solutions with explanations.,"examples,worked solutions,answer key,detailed explanation,step-by-step",WorkedExample_Warrior,I look at examples with step-by-step solutions.
7,PR004,PRACTICE,mistake_analysis,Learns by reviewing and understanding errors.,"mistakes,errors,wrong,what I did wrong,reflect",MistakeAnalyzer,I review what I got wrong.
8,OR001,ONLINE_RESOURCES,video_tutorials,Uses video platforms like YouTube for explanations.,"YouTube,video,online video,Ochem Tutor,Organic Chemistry Tutor,KhanAcademy",YouTube_PhD,I watch video tutorials like YouTube or Khan Academy.
9,OR002,ONLINE_RESOURCES,textbook_notes,"Refers to textbooks, lecture notes, or slides.","textbook,notes,lecture slides,slides,readings",Textbook_Trader,"I look at the textbook, notes, or lecture slides."
10,OR003,ONLINE_RESOURCES,AI_chatbots,Uses AI tools like ChatGPT for explanations.,"ChatGPT,AI,artificial intelligence",ChatGPT_Enthusiast,I use AI like ChatGPT to help explain things.
11,OR004,ONLINE_RESOURCES,other_online,Consults other unspecified online resources or forums.,"online resources,internet,website,forum,Chemistry Community,Google",Google_It,I search online or look at forums.
12,SS001,SELF-STUDY_STRATEGY,self_explanation,Explains concepts to oneself or teaches the material.,"explain to myself,teaching myself,my own words,summarize,simplify,rewrite notes",ExplainToMyself,I explain concepts to myself in my own words.
13,SS002,SELF-STUDY_STRATEGY,foundational_review,Goes back to review basic or core concepts.,"foundational,core concepts,basics,step back,start early,start earlier",BackToBasics,I go back and review the foundational concepts.
14,SS003,SELF-STUDY_STRATEGY,multiple_sources,Seeks out different explanations from various resources.,"different ways,other sources,alternate explanations,other resources,multiple sources,variety",DifferentPerspectives,I look for different explanations from multiple sources.
15,SS004,SELF-STUDY_STRATEGY,break_timing,Takes a break from the material to reset.,"break,step away,come back,walk away",StepAway_ComeBack,I take a break and come back to it later.
16,AP001,APPLICATION_UNDERSTANDING,real_world_examples,Finds real-world applications or connections.,"real world,application,relate",RealWorld_Relatable,I look for real-world applications or examples.
17,AP002,APPLICATION_UNDERSTANDING,pattern_recognition,Focused on finding patterns in problems or concepts.,"patterns,pattern recognition,recognize patterns",PatternSeeker,I try to find patterns in the problems.
18,AP003,APPLICATION_UNDERSTANDING,concept_focus,Focuses on understanding the underlying concept or theory.,"concept,understanding why,root cause,reasoning,intuition",WhyNotWhat,I focus on understanding the concept behind it.
19,OT001,OTHER_MISC,uncertain_no_need,Indicates no confusion or doesn't need help.,"never confused,not struggling,not needed,not challenging,doesn't apply",NeverConfused,I don't usually feel confused or need help.
20,OT002,OTHER_MISC,suggestions_complaints,Provides suggestions or complaints about resources.,"should,need more,wish,cannot,department,capacity,eligible,left behind",WishList_Warrior,"I have suggestions for how things could be better:<br>- &#34;The chemistry department should hold PSS with TAs and LAs because office hours are so full I can't get any help. We need more capacity. Additionally&#44; discussions should be in person.&#34;<br>- &#34;I usually attend office hours. However&#44; sometimes it is super crowded&#44; and I can't answer my questions (and it instead wastes time).&#34;<br>- &#34;But I am not eligible for Peer Learning&#44; so I feel left behind. Do they offer similar tutoring for people who don't qualify for AAP? AAP gives extra practice problems similar to what will be tested on&#44; and students not in AAP get left behind.&#34;"
21,OT003,OTHER_MISC,miscellaneous,Responses that don't fit other categories.,"Giving up",Miscellaneous_Mood,My approach doesn't really fit into a category.
22,OT004,OTHER_MISC,homoerotic,Slightly homoerotic one-sided academic rivalry,"homoerotic,rivalry",LightYagami,slightly homoerotic one-sided academic rivalry<br><br>(This is a real response)
