theme_id,primary_category,secondary_category,description,keywords
AW001,AWARENESS/KNOWLEDGE,did_not_knew,General statements about not knowing it existed,"did not know,didn't know,wasn't aware,not aware,never heard,no idea,never knew"
AW002,AWARENESS/KNOWLEDGE,unaware_of_resource,Specific mention of not being aware of this particular resource,"unaware of this,wasn't aware of it,not aware of it,never heard of it"
AW003,AWARENESS/KNOWLEDGE,first_hearing,Learned about it for first time through this survey,"just now,first time hearing,never heard until now,this survey"
AW004,AWARENESS/KNOWLEDGE,forgot,Knew about it but forgot,"forgot,i forgot,forgot about it,slipped my mind"
TM001,TIME/SCHEDULING,no_time,General lack of time,"no time,no time.,didn't have time,did not have time,not enough time"
TM002,TIME/SCHEDULING,schedule_conflict,Conflicts with classes work or other commitments,"time conflict,schedule conflict,class conflict,clashed,overlap,conflicted with"
TM003,TIME/SCHEDULING,commuter_issues,Difficulty scheduling around commute,"commute,commuter,not on campus,travel"
TM004,TIME/SCHEDULING,busy_schedule,Overwhelmed with other responsibilities,"busy schedule,busy quarter,too busy,packed schedule,hectic"
ND001,PERCEIVED NEED,did_not_need,General statements about not needing it,"didn't need,did not need,no need,not needed,don't need"
ND002,PERCEIVED NEED,self_sufficient,Felt they could learn effectively on their own,"self-study,study on my own,on my own,by myself,alone,independent"
ND003,PERCEIVED NEED,already_understanding,Understood the material well enough,"understood,grasped,confident,knew material,comfortable with"
ND004,PERCEIVED NEED,doing_well,Performing adequately without it,"doing well,performing well,good grade,successful,not struggling"
ND005,PERCEIVED NEED,not_necessary,Didn't view it as necessary for success,"not necessary,not essential,not required,not mandatory"
AR001,ALTERNATIVE RESOURCES,used_office_hours,Attended professor or TA office hours,"office hours,TA,professor,Dr.,office hour"
AR002,ALTERNATIVE RESOURCES,used_study_groups,Studied with friends or classmates,"study group,friends,classmates,peers,with friends,group of friends"
AR003,ALTERNATIVE RESOURCES,used_other_tutoring,Used other tutoring programs,"AAP,PLF,step-up,workshop,Campbell Hall,tutoring club,peer learning elsewhere"
AR004,ALTERNATIVE RESOURCES,used_online_resources,Used textbook online forums YouTube etc,"textbook,online,YouTube,Chemistry Community,forum,video"
AR005,ALTERNATIVE RESOURCES,used_professor_sessions,Attended professor-organized review sessions,"professor sessions,review session,professor review"
PL001,PREFERENCE/STYLE,prefer_self_study,Prefer studying alone,"prefer alone,learn better alone,by myself,own space,self-study better"
PL002,PREFERENCE/STYLE,prefer_small_groups,Prefer studying with people they know,"people I know,friends,small group,acquaintances"
PL003,PREFERENCE/STYLE,group_distraction,Find group study distracting,"distracted,distracting,lose focus,not focused"
PL004,PREFERENCE/STYLE,dislike_peer_learning,Negative past experiences or general dislike,"dislike,don't like,not a fan,bad experience,blind leading blind"
PL005,PREFERENCE/STYLE,social_anxiety,Anxious about attending alone or with strangers,"anxiety,nervous,intimidated,scared alone,afraid"
LG001,LOGISTICS/ACCESSIBILITY,location_issues,Room hard to find too far or inconvenient,"location,room,MS3974,hard to find,far,inconvenient"
LG002,LOGISTICS/ACCESSIBILITY,communication_issues,Not enough announcements or hard to find information,"announcements,communication,information,advertising,not mentioned,never said"
LG003,LOGISTICS/ACCESSIBILITY,signup_issues,Problems signing up or thought it was full,"sign up,enroll,enrollment,full,capacity,register"
LG004,LOGISTICS/ACCESSIBILITY,eligibility_confusion,Thought it was only for certain programs,"AAP,PEERS,eligible,qualify,only for,not for me"
LG005,LOGISTICS/ACCESSIBILITY,format_uncertainty,Unsure how sessions worked or what to expect,"format,what is it,how it works,what to expect,unsure what"
PE001,PERCEIVED EFFECTIVENESS,not_helpful,Didn't think it would be helpful,"not helpful,wouldn't help,not useful,not beneficial"
PE002,PERCEIVED EFFECTIVENESS,ineffective_past,Past experiences weren't helpful,"past experience,previous,been before,wasn't helpful"
PE003,PERCEIVED EFFECTIVENESS,blind_leading_blind,Skeptical about peer-led learning quality,"blind leading blind,students teaching,not qualified"
PE004,PERCEIVED EFFECTIVENESS,ta_better,Believed TA or professor help was more effective,"TA better,professor better,more helpful,more effective"
AT001,DID ATTEND,attended_this,Attended MS3974 peer learning,"did attend,attended,went there,was there,i went"
AT002,DID ATTEND,attended_other_location,Attended peer learning elsewhere,"Campbell Hall,Young Hall,other location,different room"
AT003,DID ATTEND,attended_other_format,Attended UA sessions workshops step-ups,"UA session,step-up,workshop,PLF"
AT004,DID ATTEND,found_helpful,Found the sessions beneficial,"helpful,useful,beneficial,great,good"
OT001,OTHER/MISC,no_response,Blank or N/A responses,".,na,n/a,-,no response"
OT002,OTHER/MISC,other_commitments,Work extracurriculars or family obligations,"work,job,extracurricular,family,obligations,responsibilities"
OT003,OTHER/MISC,personal_issues,Mental health illness or personal problems,"mental health,sick,illness,personal issues,struggling"
OT004,OTHER/MISC,too_lazy,Self-identified lack of motivation,"lazy,didn't get around,never made it,not motivated"
OT005,OTHER/MISC,other,Responses that don't fit other categories,"miscellaneous,other"
