learn_best,count,tags
Flashcards,2,repetition
Videos and practice problems,2,video_tutorials+general_practice
Office Hours,2,office_hours
Studying,2,general_practice
It helps me feel best learning the material when there are comfortable instructor office hours that I can go to to talk out the material.,1,office_hours
Start earlier in material if I’m missing core concepts or focus if I’m distracted.,1,foundational_review
Just rewatching lectures and redoing how to do something,1,repetition
Seeking other instruction from online videos and lecturers.,1,video_tutorials
Guided notes or a good slide show,1,textbook_notes
Having lots of practice problems to do with solutions available,1,general_practice+worked_examples
spam questions,1,asking_questions
I will try and find a khanacademy video on the topic,1,video_tutorials
"Asking questions on the Chemistry Community, asking the Professor after class, and going to office hours.",1,asking_questions+office_hours+other_online
"It is helpful for me to do practice problems related to the concept, and for someone new to explain the concept to me.",1,general_practice+peer_collaboration
spam practice,1,general_practice
"Watching videos online like from the Ochem Tutor, but also just taking advantage of discussion and office hours.",1,video_tutorials+office_hours
"I usually try to find videos or explanations from other sources, which helps me understand the material better. I also try to do practice problems to understand the application.",1,video_tutorials+other_online+general_practice
Practice and trying to explain the concepts to others.,1,general_practice+self_explanation+peer_collaboration
"Watching helpful videos and explaining the content to myself! Teaching is the best form of learning, and I often teach myself with my own words and strategies that make sense to me.",1,video_tutorials+self_explanation
Going through a lot of practice problems from the book or watching YouTube videos to understand mechanisms,1,general_practice+textbook_notes+video_tutorials
Going to office hours helps.,1,office_hours
Reviewing on foundational concepts before tackling more complicated ideas.,1,foundational_review
I re-read the notes and make a new cheat sheet in my own words and try to attempt easier practice problems before attempting harder ones while talking through it with my friends.,1,textbook_notes+self_explanation+general_practice+peer_collaboration
Looking for other ways that the content can be explained,1,multiple_sources
Asking my peers,1,peer_collaboration
Going over concepts that I struggle with. Looking at past work and applications.,1,foundational_review+general_practice
"For organic chemistry specifically, I find flashcards to be my go-to method of learning.",1,repetition
Group studying,1,peer_collaboration
When my instructors give examples and walk through their process of understanding and doing the problem.,1,worked_examples
"Practice problems, like the ones in the syllabus, and going to the UA sessions.",1,general_practice+tutoring_programs
Doing more practice problems and reviewing lectures.,1,general_practice+repetition
Watching videos online,1,video_tutorials
Going to office hours and studying with peers,1,office_hours+peer_collaboration
Go to TA office hours,1,office_hours
Spending time to understand why I did not understand it,1,mistake_analysis+concept_focus
Practice problems and the problem sets allow for trial and error as well as opportunities to collaborate and hear the reasoning of my peers.,1,general_practice+peer_collaboration
Seeking a variety of resources to explain the material in different ways in order to find the explanation that clicks for me.,1,multiple_sources
Finding online resources such as youtube and Khan Academy to help me further practice or review a concept I am confused on from class.,1,other_online+video_tutorials+general_practice
Starting learning the material early so the concepts have time to sink in and I don't get as stressed or frustrated because I know I have time,1,foundational_review
PLF sessions and ChatGPT giving me analogies for me to understand,1,tutoring_programs+AI_chatbots
"Reading the textbook and looking at drawn-out mechanisms.",1,textbook_notes
Working in groups,1,peer_collaboration
Reviewing with peers and building off of their expertise,1,peer_collaboration
A youtube tutorial,1,video_tutorials
"Working through the problem with someone who knows how to do it- I usually like asking for “clues” on how to start a problem if I’m totally lost so I can still find my way to the answer on my own, just with some guidance. I learn best with help from other people.",1,peer_collaboration+asking_questions+office_hours
Trying practice problems.,1,general_practice
Asking questions and practice.,1,asking_questions+general_practice
Watching YT videos on the subject.,1,video_tutorials
"I like to go over many different types practice problems relating to a mechanism (or group of mechanism), to see different ways it can be applied and to find patterns of when I would be expected to use that mechanism. I also like to repeatedly draw these mechanisms to help gain an understanding of how it functions.",1,general_practice+pattern_recognition+repetition
Applying the concepts myself on a problem,1,general_practice
"Going to office hours, struggling through it with other people, or taking five minutes to take a break and then come back to the problem to try and find a new way to think it through.",1,office_hours+peer_collaboration+break_timing
Seeking help from TAs or friends.,1,office_hours+peer_collaboration
"Ask my friends to explain it, watch youtube videos on it, and simply practice more.",1,peer_collaboration+video_tutorials+general_practice
"Problem Solving Sessions and/asking my TAs during discussion. Unfortunately, I can't do either this quarter.  :(   The chemistry department should hold PSS with TAs and LAs because office hours are so full I can't get any help. We need more capacity. Additionally, discussions should be in person.",1,tutoring_programs+office_hours+suggestions_complaints
ask the professor and/or TA!,1,office_hours
Doing practice problems is the most helpful as I learn through examples and see how topics are applied to questions.,1,general_practice+worked_examples
"I really need to just ask questions and then practice a bunch with the problems. My issue tends to be trying to figure out what questions I have, and a safe 1-1 place I can ask them, because I get stressed when everyone is around me.",1,asking_questions+general_practice+office_hours
Doing the readings on the foundational topics.,1,foundational_review+textbook_notes
"Seeing someone else do it first, then trying on my own.",1,worked_examples+general_practice
Youtube videos and consulting with friends.,1,video_tutorials+peer_collaboration
Youtube videos online or going to office hours!,1,video_tutorials+office_hours
doing a bunch of practice problems,1,general_practice
I am never confused >:),1,uncertain_no_need
Learning from friends,1,peer_collaboration
"Ai, I talk to it to see if I understood the topics correctly.",1,AI_chatbots
Reading the textbook,1,textbook_notes
When material is confusing/challenging it helps for me to ask someone who is already knowledgable about the topic for help and seek starting point guidance from them. It also helps me to watch additional videos on youtube or sometimes turn to AI for tips on certain problems.,1,asking_questions+office_hours+peer_collaboration+video_tutorials+AI_chatbots
reviewing with others!,1,peer_collaboration
Practice problems and online videos,1,general_practice+video_tutorials
Talking with friends and talking to my TA.,1,peer_collaboration+office_hours
Practice problems and detailed explanation with solutions,1,general_practice+worked_examples
"rewatching lectures, re-writing notes, and doing more problems",1,repetition+self_explanation+general_practice
Problem Sets + Review Sessions + Practice Exams,1,general_practice+tutoring_programs
"Repetition is my strong suit. However, it has been difficult for me to undergo a repetitive study habit because of a lack of time during this fall quarter. I am finding new effective ways to study.",1,repetition
Extra practice,1,general_practice
Lots of videos and office hours,1,video_tutorials+office_hours
Reviewing lecture slides or going to office hours,1,textbook_notes+office_hours
Having lots of practice problems and having chances to practice with the professor in class helps me clarify and better understand confusing concepts.,1,general_practice+office_hours
Using other supplemental materials like reading the textbook and watching YouTube videos to hear alternative explanations for the same concept to see if one sticks.,1,multiple_sources+textbook_notes+video_tutorials
"Having a lot of practice problems or practice lessons, to learn about the type of problems I can expect on the exam.",1,general_practice+pattern_recognition
Asking someone knowledgable and approachable for help,1,asking_questions+peer_collaboration+office_hours
Practice problems and examples of the concepts being applied in real world instances or questions that reflect what the professor will be testing us on helps me feel best when material is confusing or challenging because it helps me prioritize and focus on the intended material.,1,general_practice+worked_examples+real_world_examples
