theme_id,primary_category,secondary_category,description,keywords
EX001,EXAMS,general,General anxiety about exams/midterms/finals,"exam,exams,midterm,midterms,final,tests,test,assessments"
EX002,EXAMS,format_structure,Concerns about exam format question types or structure,"format,structure,questions,types,free response,mcq,multiple choice,partial credit"
EX003,EXAMS,difficulty_level,Worried exams will be harder than expected,"difficulty,hard,difficult,trick,unpredictable,unexpected,curveball"
EX004,EXAMS,preparation_readiness,Nervous about being underprepared for exams,"underprepared,unprepared,not ready,not prepared,not enough practice"
EX005,EXAMS,pacing_timing,Concerns about time pressure during exams,"time,run out,fast,pace,pacing,timed,speed"
EX006,EXAMS,curve_grading,Nervous about grading curve or competition with peers,"curve,curved,competition,above others,benchmark,compared"
EX007,EXAMS,cumulative_final,Specific worry about cumulative final exam,"cumulative,final,final exam"
EX008,EXAMS,multiple_exams,Stress about multiple exams close together,"back to back,same day,multiple,several exams,together"
EX009,EXAMS,test_anxiety,General test anxiety or blanking out,"test anxiety,blank out,freeze,panic,nervous during"
PC001,PACE_CONTENT,course_pace,Nervous about course moving too quickly,"pace,fast,quick,speed,rush,goes fast,moves fast"
PC002,PACE_CONTENT,workload_general,General concerns about managing workload,"workload,load,amount of work,heavy,intense,overwhelming"
PC003,PACE_CONTENT,content_volume,Specific worry about amount of content/material,"volume,sheer volume,amount of content,quantity,magnitude,so much"
PC004,PACE_CONTENT,time_management,Nervous about balancing time for this course,"time management,manage time,find time,make time"
PC005,PACE_CONTENT,balancing_courses,Concerns about balancing with other classes,"other classes,other courses,other STEM,other workload,multiple classes"
PC006,PACE_CONTENT,balancing_life,Concerns about balancing with life/extracurriculars,"extracurricular,activities,life outside,personal,balance everything"
PC007,PACE_CONTENT,quarter_system,Stress about adjusting to quarter system pace,"quarter system,10 weeks,short term,fast paced quarter"
CN001,CONTENT_KNOWLEDGE,memorization_general,General anxiety about memorization required,"memorize,memorization,remember,retain,memory,bad memory"
CN002,CONTENT_KNOWLEDGE,reactions_mechanisms,Specific worry about reactions and mechanisms,"reactions,mechanisms,reagents,synthesis,drawing products"
CN003,CONTENT_KNOWLEDGE,conceptual_understanding,Concern about truly understanding vs memorizing,"conceptual,understand,truly understand,deep understanding,grasp,intuit"
CN004,CONTENT_KNOWLEDGE,math_calculations,Nervous about mathematical aspects,"math,calculations,equations,formulas,numbers,quantum"
