theme_id,primary_category,secondary_category,description,keywords
HS001,HELP-SEEKING,office_hours,"Seeks help from instructors (Professor, TA) during scheduled hours.","office hours,professor,TA,teacher,instructor"
HS002,HELP-SEEKING,peer_collaboration,Studies or seeks help from friends or classmates.,"friend,peer,classmate,group,others,people,with friends,study group"
HS003,HELP-SEEKING,tutoring_programs,Uses structured peer-led or academic support programs.,"PLF,UA session,step-up,AAP,tutoring,PSS,Problem Solving Session,LA"
HS004,HELP-SEEKING,asking_questions,Actively asks questions to clarify confusion.,"ask questions,asking,clarify questions"
PR001,PRACTICE,general_practice,Engages in practice problems or exercises.,"practice problems,practice,practicing,problem sets,practice exams,drilling,exercises"
PR002,PRACTICE,repetition,Uses repetition or redoing work to reinforce learning.,"repetition,repeat,redoing,over and over,again,rewatching lectures,re-reading"
PR003,PRACTICE,worked_examples,Uses examples or solutions with explanations.,"examples,worked solutions,answer key,detailed explanation,step-by-step"
PR004,PRACTICE,mistake_analysis,Learns by reviewing and understanding errors.,"mistakes,errors,wrong,what I did wrong,reflect"
OR001,ONLINE_RESOURCES,video_tutorials,Uses video platforms like YouTube for explanations.,"YouTube,video,online video,Ochem Tutor,Organic Chemistry Tutor,KhanAcademy"
OR002,ONLINE_RESOURCES,textbook_notes,"Refers to textbooks, lecture notes, or slides.","textbook,notes,lecture slides,slides,readings"
OR003,ONLINE_RESOURCES,AI_chatbots,Uses AI tools like ChatGPT for explanations.,"ChatGPT,AI,artificial intelligence"
OR004,ONLINE_RESOURCES,other_online,Consults other unspecified online resources or forums.,"online resources,internet,website,forum,Chemistry Community,Google"
SS001,SELF-STUDY_STRATEGY,self_explanation,Explains concepts to oneself or teaches the material.,"explain to myself,teaching myself,my own words,summarize,simplify,rewrite notes"
SS002,SELF-STUDY_STRATEGY,foundational_review,Goes back to review basic or core concepts.,"foundational,core concepts,basics,step back,start early,start earlier"
SS003,SELF-STUDY_STRATEGY,multiple_sources,Seeks out different explanations from various resources.,"different ways,other sources,alternate explanations,other resources,multiple sources,variety"
SS004,SELF-STUDY_STRATEGY,break_timing,Takes a break from the material to reset.,"break,step away,come back,walk away"
AP001,APPLICATION_UNDERSTANDING,real_world_examples,Finds real-world applications or connections.,"real world,application,relate"
AP002,APPLICATION_UNDERSTANDING,pattern_recognition,Focused on finding patterns in problems or concepts.,"patterns,pattern recognition,recognize patterns"
AP003,APPLICATION_UNDERSTANDING,concept_focus,Focuses on understanding the underlying concept or theory.,"concept,understanding why,root cause,reasoning,intuition"
OT001,OTHER_MISC,uncertain_no_need,Indicates no confusion or doesn't need help.,"never confused,not struggling,not needed,not challenging,doesn't apply"
OT002,OTHER_MISC,suggestions_complaints,Provides suggestions or complaints about resources.,"should,need more,wish,cannot,department,capacity,eligible,left behind"
OT003,OTHER_MISC,miscellaneous,Responses that don't fit other categories.,"homoerotic,rivalry,Giving up"
