nervous,count,tags
The exams,6,exams_general
Exams,3,exams_general
The exams.,2,exams_general
The final,2,cumulative_final
the difficulty of exams as compared to class work,2,exam_difficulty_level
The difficulty of the exams.,2,exam_difficulty_level
getting an A,2,grades
Midterms and the final.,2,exams_general
How different it'll be from high-school chemistry and the difficulty of the exams,2,high_school_to_college+exam_difficulty_level
I am most nervous about falling behind and not having the proper study techniques to ensure I am learning to the best of my ability.,2,falling_behind+study_effectiveness
final exam,2,cumulative_final
I’m most nervous about being able to succeed and recall old information from classes to be able to complete assignments or exams.,1,doing_well+prior_knowledge_gap
I am most nervous about taking the whole lab period and still not finishing my experiments. I am also nervous about feeling rushed in the lab period causing me to feel like I’m not fully understanding what I am completing.,1,lab_pacing
I switched in 2 days ago and gotta catch up,1,falling_behind
"I am a transfer student so it is scary coming across this class as one of my first, it’s very fast paced and it feels like the lecturer is 10 steps ahead when I barely had enough time to catch up to the content. Just struggling a bit you may say.",1,transfer_student+course_pace
"How the curve will be on my class, which is supposedly quite fair so.",1,curve_grading
Managing the workload of two postlabs and prelabs a week,1,lab_workload
takes a lot of time,1,time_management
Being able to understand why I use certain equations and not just plugging values in,1,conceptual_understanding
I'm not sure where to begin in terms of studying concepts I don't understand.,1,study_effectiveness
That I am not going to understand the topic and will fall far behind.,1,falling_behind
Not mastering concepts before the exam,1,exam_preparation_readiness
everyone struggles w chem at this school so i am scared for the midterms and that i will be unprepared!,1,heard_difficult+exam_preparation_readiness
"I am not particularly proficient in English, so I am slightly nervous about communicating and clarifying my academic questions and concerns in English in a way that is clear and concise enough for others to understand.",1,english_proficiency
"I'm most nervous about keeping up with all the concepts. I feel like they all build off of each other, so if I don't understand something in the beginning of the class then it'll be hard for me to understand the future topics.",1,course_pace+conceptual_understanding
"I was nervous about the speed of the class, but Dr. Lavelle has so many resources available, that I feel very well supported.",1,not_nervous
"I'm nervous about the midterm because even though I understand the material, I don't feel confident about my knowledge.",1,exams_general+confidence_issues
Having enough time to properly learn all the reactions to the required extent.,1,time_management+reactions_mechanisms
Balancing the workload with other courses.,1,balancing_courses
not passing,1,failing
Adjusting to being on a new campus and earning my first GPA! I earned a high B in my last organic chemistry class and I’m nervous for this one.,1,new_environment+gpa_impact+prior_negative_experience
not remembering 30a stuff,1,thirtyA_specific
I know that I am going to have to do a lot of practice problems to understand it and I don't know if I have enough time to study for all my classes.,1,practice_problems+balancing_courses
Just memorizing and being able to apply mechanisms when it comes to the test.,1,memorization_general+reactions_mechanisms+application_problems
Seeing exam questions on topics that were only mentioned in 30A yet never being reviewed in 30B,1,thirtyA_specific
Managing my time and finding the right study method for me.,1,time_management+study_development
Balancing courseload. And also remembering contents from the previous chemistry class,1,balancing_courses+prior_knowledge_gap
"As a transfer student, it's nerve wracking to consistently hear ""your knowledge from 30A"" when I haven't taken that course. I have no idea what concepts from my previous organic chemistry class coincide with ""30A knowledge"". I feel very overwhelmed and lost.",1,transfer_student+thirtyA_specific
"That my other classes will reduce the amount of time I have for this class. I know how long I will need to spend to get an A in 30B after my experience in 30A, so I am just nervous about whether I will have the time available to do so.",1,balancing_courses+grades+prior_negative_experience
Transferring from community college,1,transfer_student
memorizing all the reactions needed for synthesis and mechanisms,1,reactions_mechanisms
"I am most nervous about forgetting how to use certain lab equipment. Before lab, I have been trying to refresh my memory by watching short tutorials. So far, everything is going smoothly and I am finishing lab sessions before the end time.",1,lab_skills
Time management and exams.,1,time_management+exams_general
I am not confident in a lot of the Chem 30A concepts because I transferred from a CC and my professor focused on memorization rather than understanding O-chem.,1,thirtyA_specific+transfer_student+conceptual_understanding
I'm nervous about the tests and midterms.,1,exams_general
I am most nervous about balancing my time. I'm taking a lot of content-intensive STEM classes and I need to make sure I have enough time to study all of them.,1,time_management+balancing_courses
Staying on track with studying the concepts and doing practice problems consistently.,1,falling_behind+practice_problems
Remembering content from the last chemistry course I took and applying it to this course,1,prior_knowledge_gap+application_problems
Nothing Pham is great,1,not_nervous
Amount of mechanisms that will need to be remembered by the final.,1,reactions_mechanisms
This class is pretty study intensive and with the rest of my workload I have some personal concerns about time and stress management but this is less to do with the class itself but more cause I've taken on a pretty intense workload.,1,workload_general+time_management
"Memorizing/remembering all the reagents, and their names; that's what I struggled with the most in 30A",1,memorization_general+prior_negative_experience
I’m most nervous about not having taken a co-req for this class because it’s not required for my major.,1,prior_knowledge_gap
"Because this class is significantly more content, I am most nervous to memorize or be able to answer so many different reactions.",1,content_volume+memorization_general
